p1,p2,tilt
0.0483333333,0.075,0.12285394707398886
0.0483333333,0.0798611111,0.28910159393683094
0.0483333333,0.0847222222,0.4074152249429065
0.0483333333,0.0895833333,0.3928765298560054
0.0483333333,0.0944444444,0.5389664109155581
0.0483333333,0.0993055556,0.7053581527688518
0.0483333333,0.1041666667,0.6935353225596921
0.0483333333,0.1090277778,0.737932655786671
0.0483333333,0.1138888889,0.8207308748112159
0.0483333333,0.11875,0.7676803599255634
0.0483333333,0.1236111111,0.6682730946699853
0.0483333333,0.1284722222,0.7288143412436505
0.0483333333,0.1333333333,0.5940218206990312
0.0483333333,0.1381944444,0.460106719888281
0.0483333333,0.1430555556,0.5149542962907376
0.0483333333,0.1479166667,0.38803068440739064
0.0483333333,0.1527777778,0.19385591606884214
0.0483333333,0.1576388889,0.21721844215809266
0.0483333333,0.1625,0.06334185499067022
0.0483333333,0.1673611111,0.11232371448937173
0.0483333333,0.1722222222,0.14185131146922658
0.0483333333,0.1770833333,0.22131843998411818
0.0483333333,0.1819444444,0.47063275934323734
0.0483333333,0.1868055556,0.5839569470854804
0.0483333333,0.1916666667,0.6739932885697314
0.0483333333,0.1965277778,0.721349765953591
0.0483333333,0.2013888889,1.026217367318496
0.0483333333,0.20625,1.0686848544146808
0.0483333333,0.2111111111,1.1972748905637347
0.0483333333,0.2159722222,1.2663063271274437
0.0483333333,0.2208333333,1.5678544778743448
0.0483333333,0.2256944444,1.4544940318052868
0.0483333333,0.2305555556,1.6218876826110074
0.0483333333,0.2354166667,1.9278843874843423
0.0483333333,0.2402777778,1.8880703420872778
0.0483333333,0.2451388889,2.0432645006841295
0.0483333333,0.25,2.2193484943678503
0.05,0.075,0.26371849377655293
0.05,0.0798611111,0.12818662142073015
0.05,0.0847222222,0.22022272985693092
0.05,0.0895833333,0.17781022578774225
0.05,0.0944444444,0.35748756461913495
0.05,0.0993055556,0.4843201606754863
0.05,0.1041666667,0.46003114642360565
0.05,0.1090277778,0.501252473165244
0.05,0.1138888889,0.6052482737587312
0.05,0.11875,0.5041695010636124
0.05,0.1236111111,0.47599619807651794
0.05,0.1284722222,0.470037068116285
0.05,0.1333333333,0.406883172018084
0.05,0.1381944444,0.23505793691449717
0.05,0.1430555556,0.3105969993821291
0.05,0.1479166667,0.20111264293789463
0.05,0.1527777778,0.12036459442933738
0.05,0.1576388889,0.13795096584600217
0.05,0.1625,0.048898432129742035
0.05,0.1673611111,0.12158990990591693
0.05,0.1722222222,0.2517837958771758
0.05,0.1770833333,0.3579246151166169
0.05,0.1819444444,0.5194890470180781
0.05,0.1868055556,0.7283563297804743
0.05,0.1916666667,0.7263946091355643
0.05,0.1965277778,0.8602630028648961
0.05,0.2013888889,1.0718921128286574
0.05,0.20625,1.116775687091273
0.05,0.2111111111,1.2443897895432505
0.05,0.2159722222,1.2994624652335975
0.05,0.2208333333,1.504293311550747
0.05,0.2256944444,1.4869139646532734
0.05,0.2305555556,1.6564089281813639
0.05,0.2354166667,1.9771289875860905
0.05,0.2402777778,1.9188264546285974
0.05,0.2451388889,2.078722408168499
0.05,0.25,2.2531921399330397
0.0516666667,0.075,0.029969942474300265
0.0516666667,0.0798611111,0.2998550094825533
0.0516666667,0.0847222222,0.3665663336872143
0.0516666667,0.0895833333,0.30739307353621564
0.0516666667,0.0944444444,0.497926823562983
0.0516666667,0.0993055556,0.6079760337646314
0.0516666667,0.1041666667,0.610086598366603
0.0516666667,0.1090277778,0.6451003604777228
0.0516666667,0.1138888889,0.7007161942281446
0.0516666667,0.11875,0.6479776769336384
0.0516666667,0.1236111111,0.5863270768063942
